#Organism_name,taxonomy_ID,Supergroup_group,Phylum,Class,Mitochondria_type,Plastid_type
Nicotiana tabacum,4097,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Beauveria malawiensis,371061,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Leuciscus waleckii,155063,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Onychodactylus zhangyapingi,1248183,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Rupicapra pyrenaica,72545,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Juglanconis oblonga,1940568,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Trematolobelia kauaiensis,360866,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Phyllobates terribilis,111132,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Heteropsylla cubana,121849,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Aster hypoleucus,2709852,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Calanthe sylvatica,337206,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Paramyrothecium roridum,1859971,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Hydromantes brunus,57553,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Dendrobium scoriarum,858932,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Latimeria menadoensis,106881,Opisthokonta_Metazoa,Chordata,Coelacanthimorpha,Aerobic_mitochondria,None
[Candida] haemulonis var. vulnera,1231523,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Lonicera calcarata,486661,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Micropercops swinhonis,86241,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Paravannella minima,1443144,Amoebozoa,Discosea,Flabellinia,Aerobic_mitochondria,None 
Malassezia globosa,76773,Opisthokonta_Fungi,Basidiomycota,Malasseziomycetes,Aerobic_mitochondria,None 
Scotinophara lurida,1331320,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Acisoma panorpoides,342762,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Xylocarpus moluccensis,520510,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Ardea cinerea,30390,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Harmonia axyridis,115357,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Lobelia linearis,2041131,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Stemonidium hypomelas,87100,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Tursiops truncatus,9739,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Pateobatis hortlei,495860,Opisthokonta_Metazoa,Chordata,Chondrichthyes,Aerobic_mitochondria,None
Diphylleia rotans,190327,CRuMs,Collodictyonidae,Diphylleia,Aerobic_mitochondria,None
Cryptococcus amylolentus CBS 6273,1296118,Opisthokonta_Fungi,Basidiomycota,Tremellomycetes,Aerobic_mitochondria,None 
Ambystoma californiense,43107,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Anthocharis bambusarum,385382,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Lanzia echinophila,1424426,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
Cyathocotyle prussica,2067575,Opisthokonta_Metazoa,Platyhelminthes,Trematoda,Aerobic_mitochondria,None
Trochalopteron elliotii,520170,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Kazachstania servazzii,27293,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Acropyga kinomurai,602213,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Sordaria macrospora,5147,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Chenopodium pallidicaule,882375,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Bos javanicus,9906,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Saccharomyces cerevisiae YJM1341,1294351,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Pristionchus exspectatus,1195656,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Quercus sichourensis,2029655,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Arripis trutta,270544,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Hanseniaspora clermontiae,211099,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Saccharomyces cerevisiae YJM555,1294316,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Chlorodesmis fastigiata,189431,Archaeplastida_Viridiplantae,Chlorophyta,Ulvophyceae,Aerobic_mitochondria,Primary_green_plastid 
Delphinus delphis,9728,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Biomphalaria sudanica,112527,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Eragrostis minor,110886,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Cyanidioschyzon merolae,45157,Archaeplastida_Rhodophyta,Rhodophyta,Bangiophyceae,Aerobic_mitochondria,Primary_red_plastid
Sibon nebulatus,211651,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Lepilemur grewcockorum,886960,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Hylobates agilis,9579,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Metschnikowia sp. M2Y3,1807689,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Periplaneta americana,6978,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Modiolus kurilensis,1647520,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Hemidactylium scutatum,291265,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Panagrellus redivivus,6233,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Leptynoptera sulfurea,1950150,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Plumeria rubra,62097,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Rugosa tientaiensis,121168,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Lepilemur jamesorum,486960,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Abeoforma whisleri,749232,Opisthokonta_Ichthyosporea,Ichthyosporea,Ichthyosporea,Aerobic_mitochondria,None 
Pampus echinogaster,163126,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Stegobium paniceum,295656,Opisthokonta_Metazoa,Arthropoda,Insecta,Undescribed,None
Fucus vesiculosus,49266,SAR_Stramenopiles,Stramenopiles,Phaeophyceae,Aerobic_mitochondria,Secondary_red_plastid
Chrysomus icterocephalus,993346,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Pogostemon yatabeanus,1667030,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Ceraesignum maximum,1522080,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Rhinolophus thomasi,476589,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Ninguta schrenckii,669556,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Hypsibius dujardini,232323,Opisthokonta_Metazoa,Tardigrada,Eutardigrada,Aerobic_mitochondria,None
Eleginus gracilis,8047,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Plasmodium falciparum K1,5839,SAR_Alveolata,Alveolata,Apicomplexa,Aerobic_mitochondria,Secondary_red_plastid_Apicoplast
Hippocampus abdominalis,109274,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Carcharhinus amboinensis,398260,Opisthokonta_Metazoa,Chordata,Chondrichthyes,Aerobic_mitochondria,None
Chenopodium ficifolium,887860,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Armillifer grandis,1529463,Opisthokonta_Metazoa,Arthropoda,Ichthyostraca,Aerobic_mitochondria,None
Protaetia brevitarsis,348688,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Mnemiopsis leidyi,27923,Opisthokonta_Metazoa,Ctenophora,Tentaculata,Aerobic_mitochondria,None
Casuarius casuarius,8787,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Phytophthora cryptogea,4786,SAR_Stramenopiles,Stramenopiles,Oomycota,Aerobic_mitochondria,None
Saccharomyces kudriavzevii FM1077,1163644,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Athyma gutama,2498636,Opisthokonta_Metazoa,Arthropoda,Insecta,Unknown,None
Malurus melanocephalus,175006,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Centropyge multicolor,586790,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Eucalyptus patens,582372,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Megalobrama amblycephala x Parabramis pekinensis,1458563,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Drosophila kanapiae,137072,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Tragelaphus spekii,69298,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Sphaeramia orbicularis,375764,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Oscarella microlobata,764031,Opisthokonta_Metazoa,Porifera,Homoscleromorpha,Aerobic_mitochondria,None
Hypoplectrus puella,146810,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Prorocentrum minimum,39449,SAR_Alveolata,Alveolata,Dinophyceae,Aerobic_mitochondria,Secondary_red_plastid
Ctenopharyngodon idellus x Elopichthys bambusa,1564186,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Clinocottus analis,304258,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Pseudobagrus crassilabris,175786,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Rhynchopelates oxyrhynchus,270585,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Eragrostis setifolia,2528930,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Solanum kurtzianum,198039,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Alternaria solani,48100,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Moschus moschiferus,68415,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Aporia martineti,1933878,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Lindgomyces ingoldianus,673940,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Microbotryum saponariae,289078,Opisthokonta_Fungi,Basidiomycota,Microbotryomycetes,Aerobic_mitochondria,None 
Echinoecus nipponicus,2305783,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Undescribed,None
Dendrolimus kikuchii,765133,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Lonicera confusa,370638,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Paramormyrops kingsleyae,1676925,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Corynespora cassiicola UM 591,1451142,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Sporobolus helvolus,1629762,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Diabolocatantops pinguis,509737,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Scoliodon laticaudus,210639,Opisthokonta_Metazoa,Chordata,Chondrichthyes,Aerobic_mitochondria,None
Catharus ustulatus,91951,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Phytophthora parasitica P10297,1317064,SAR_Stramenopiles,Stramenopiles,Oomycota,Aerobic_mitochondria,None
Candida albicans P94015,1094983,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Anaerobic_mitochondria,None 
Thymallus burejensis,565240,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Abelmoschus esculentus,455045,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Eumeta japonica,151549,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Sarcandra glabra,92927,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Ovis aries,9940,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Muscicapa griseisticta,670350,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Sypharochiton sinclairi,1117399,Opisthokonta_Metazoa,Mollusca,Polyplacophora,Aerobic_mitochondria,None
Prunus avium,42229,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Archichauliodes deceptor,1909206,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Nematalosa come,1300979,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Chromis chromis,91607,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Orchesella villosa,48706,Opisthokonta_Metazoa,Arthropoda,Collembola,Aerobic_mitochondria,None
Lepilemur milanoii,886963,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Pardosa laura,317849,Opisthokonta_Metazoa,Arthropoda,Arachnida,Aerobic_mitochondria,None
Philanthus triangulum,280486,Opisthokonta_Metazoa,Arthropoda,Insecta,Undescribed,None
Pseudopungtungia tenuicorpus,581200,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Rezinkovia echinata,394683,Opisthokonta_Metazoa,Porifera,Demospongiae,Aerobic_mitochondria,None
Pneumocystis murina B123,1069680,Opisthokonta_Fungi,Ascomycota,Pneumocystidomycetes,Aerobic_mitochondria,None 
Trigonella foenum-graecum,78534,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Crotalus viridis viridis,8742,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Pythium brassicum,1485010,SAR_Stramenopiles,Stramenopiles,Oomycota,Aerobic_mitochondria,None
Moniliophthora roreri,221103,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Yamagishiella unicocca,51707,Archaeplastida_Viridiplantae,Chlorophyta,Chlorophyceae,Aerobic_mitochondria,Primary_green_plastid 
Quercus aquifolioides,1495044,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Cyclemys tcheponensis,260618,Opisthokonta_Metazoa,Chordata,Reptilia,Aerobic_mitochondria,None
Schismus arabicus,500268,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Avena vaviloviana,40828,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Acipenser gueldenstaedtii x Acipenser baerii,1358432,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Citrullus rehmii,260675,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Mutela dubia,152234,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Paratonkinacris vittifemoralis,1257164,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Carpinus putoensis,88033,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Agramma hupehanum,1964413,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Cominella adspersa,128473,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Themeda arundinacea,798343,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Anaerobic_mitochondria,Primary_green_plastid 
Selaginella bisulcata,1715365,Archaeplastida_Viridiplantae,Streptophyta,Lycopodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Ilyonectria destructans,64609,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Pelea capreolus,59552,Opisthokonta_Metazoa,Chordata,Mammalia,Anaerobic_mitochondria,None
Holtermanniella nyarrowii,104675,Opisthokonta_Fungi,Basidiomycota,Tremellomycetes,Aerobic_mitochondria,None 
Fusarium oxysporum f. sp. matthiolae,96317,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Tuta absoluta,702717,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Chionanthus macrobotrys,2491092,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Didymosphenia geminata,1115533,SAR_Stramenopiles,Bacillariophyta,Bacillariophyceae,Aerobic_mitochondria,Secondary_red_plastid
Pteropus scapulatus,94117,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Python regius,51751,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Parasitaxus usta,56899,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Riptortus pedestris,329032,Opisthokonta_Metazoa,Arthropoda,Insecta,Anaerobic_mitochondria,None
Vitis piasezkii,228411,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Neoeriocheir leptognathus,215781,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Ancylostoma duodenale,51022,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Paulownia fargesii,1799609,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Undescribed,Primary_green_plastid 
Sarcophaga misera,321196,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Dysdera silvatica,477319,Opisthokonta_Metazoa,Arthropoda,Arachnida,Aerobic_mitochondria,None
Laqueus japonicus,147651,Opisthokonta_Metazoa,Brachiopoda,Rhynchonellata,Aerobic_mitochondria,None
Obba rivulosa,1052685,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Eretmochelys imbricata,27787,Opisthokonta_Metazoa,Chordata,Reptilia,Aerobic_mitochondria,None
Taxus cuspidata,99806,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Aconitum vilmorinianum,226101,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Nannospalax ehrenbergi,30637,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Tricholepidion gertschi,89825,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Lycodes tanakae,1358735,Opisthokonta_Metazoa,Chordata,Actinopteri,Undescribed,None
Entamoeba invadens IP1,370355,Amoebozoa,Evosea,Archamoebae,Aerobic_mitochondria,None 
Ichthyophis bannanicus,8453,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Hiatula acuta,2341034,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Penaeus monodon,6687,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Myxine glutinosa,7769,Opisthokonta_Metazoa,Chordata,Myxini,Aerobic_mitochondria,None
Felis nigripes,61379,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Palythoa mutuki,417481,Opisthokonta_Metazoa,Cnidaria,Anthozoa,Aerobic_mitochondria,None
Eremomyces bilateralis CBS 781.70,1392243,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Corymbia tessellaris,34330,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Piofontia cayambensis,587503,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Filchnerella beicki,286168,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Sagamichthys abei,319782,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Scoparipes salvazai,2575669,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Gymnospermium kiangnanense,516550,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Kallima inachus,311037,Opisthokonta_Metazoa,Arthropoda,Insecta,Anaerobic_mitochondria,None
Ternstroemia gymnanthera,107827,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Allomaieta villosa,1170328,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Opisthoproctus soleatus,170206,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Colletotrichum spinosum,1347390,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Friedmanniomyces simplex,329884,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Styrax calvescens,153525,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Kuetzingia canaliculata,228262,Archaeplastida_Rhodophyta,Rhodophyta,Florideophyceae,Aerobic_mitochondria,Primary_red_plastid
Atlantisia rogersi,2478892,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Maackia floribunda,53896,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Callitris rhomboidea,13383,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Setaria labiatopapillosa,108094,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Dendrobium pendulum,169179,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Populus rotundifolia,765816,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Andropogon burmanicus,2003510,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Ceratina calcarata,156304,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Pseudorasbora parva,51549,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Diplaziopsis cavaleriana,208742,Archaeplastida_Viridiplantae,Streptophyta,Polypodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Heliconius cydno chioneus,171915,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Anaeromyces robustus,1754192,Opisthokonta_Fungi,Chytridiomycota,Neocallimastigomycetes,Aerobic_mitochondria,None 
Batagur trivittata,686919,Opisthokonta_Metazoa,Chordata,Reptilia,Aerobic_mitochondria,None
Beauveria bassiana,176275,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Oryza eichingeri,29689,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Urophysa rockii,1841493,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Lampsilis powellii,106594,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Saccharomyces cerevisiae ZTW1,1227742,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Undescribed,None 
Micropterus salmoides salmoides,489037,Opisthokonta_Metazoa,Chordata,Actinopteri,Undescribed,None
Oryza australiensis,4532,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Avena brevis,398446,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Bilobella aurantiaca,106915,Opisthokonta_Metazoa,Arthropoda,Collembola,Aerobic_mitochondria,None
Embiratermes neotenicus,1367269,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Gekko swinhonis,146912,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Selar crumenophthalmus,146146,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Candida albicans 19F,1094987,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Anaerobic_mitochondria,None 
Lilium tsingtauense,82331,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Phrynocephalus albolineatus,171642,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Xenopus laevis,8355,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Saccharomyces cerevisiae YJM1252,1294342,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Carcharhinus amblyrhynchoides,443756,Opisthokonta_Metazoa,Chordata,Chondrichthyes,Aerobic_mitochondria,None
Myadestes myadestinus,1804740,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Passiflora edulis,78168,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Dryocopus pileatus,51359,Opisthokonta_Metazoa,Chordata,Aves,Undescribed,None
Pyrenaria microcarpa,197095,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
